浪	9470
判	9444
耶	9434
柯	9433
糊	9429
鸟	9424
词	9423
泰	9387
拜	9370
迫	9357
堡	9354
挥	9350
抖	9348
咱	9327
佳	9300
镜	9287
哦	9287
折	9281
奶	9270
扎	9230
宁	9179
洲	9168
唐	9168
桑	9162
迎	9160
田	9149
户	9146
沃	9112
鼓	9069
虚	9046
遭	9032
骨	9026
元	9023
移	9010
缺	9003
劲	9002
宫	9000
冰	8986
环	8970
优	8969
祖	8953
羊	8887
岛	8880
坦	8878
昨	8848
娅	8842
毕	8829
监	8825
滑	8820
婆	8818
爬	8815
胆	8780
忧	8773
挺	8766
私	8756
奔	8756
镇	8741
猛	8738
亡	8730
霍	8709
戈	8706
借	8688
佩	8686
拍	8675
撒	8668
互	8666
例	8659
珍	8630
鲜	8619
轮	8618
吹	8609
孔	8584
巨	8582
武	8570
愤	8569
齐	8554
腰	8542
库	8528
魂	8506
硬	8489
鼻	8485
稍	8485
蛋	8483
绿	8481
饰	8437
汤	8425
辆	8425
补	8412
叹	8402
泽	8394
闹	8362
盯	8358
番	8352
荣	8334
汽	8330
误	8326
配	8277
吕	8270
荡	8245
魔	8245
圆	8234
恼	8207
督	8205
狱	8170
枝	8166
摩	8161
含	8161
猜	8158
昏	8137
纯	8129
俄	8121
圈	8096
控	8091
弯	8086
箱	8082
残	8077
牧	8070
嘉	8065
拒	8051
季	8051
缓	8040
闭	8014
织	7998
眉	7975
愉	7962
扬	7942
执	7933
醉	7920
奋	7905
皇	7898
凉	7897
厉	7881
软	7872
颤	7861
隔	7852
货	7845
沿	7828
貌	7812
掌	7798
岸	7762
慰	7750
倾	7730
归	7714
余	7703
赏	7690
惧	7689
膀	7649
增	7649
抗	7647
北	7647
效	7643
牌	7639
ｍ	7635
孤	7635
仔	7630
兹	7604
罢	7597
败	7595
绪	7594
府	7587
丢	7578
厚	7568
享	7552
敲	7534
茨	7533
拖	7530
碎	7523
宣	7521
毒	7510
搞	7501
征	7489
超	7483
茶	7482
检	7470
洞	7459
幻	7456
努	7436
骗	7431
创	7430
糟	7425
贴	7422
洁	7419
插	7387
厨	7384
铺	7381
春	7380
占	7372
匆	7369
嘛	7350
云	7349
健	7325
匹	7310
耐	7302
炉	7300
防	7281
触	7273
ｄ	7270
挑	7266
擦	7249
恰	7227
恋	7219
陪	7203
漫	7175
蕾	7150
愈	7147
ｃ	7145
傻	7125
审	7125
津	7120
陷	7117
材	7115
瓶	7114
荒	7100
谋	7100
灭	7094
鞋	7085
谷	7072
尚	7072
韦	7070
介	7058
党	7030
龙	7012
迟	7007
骂	6977
鸡	6967
丧	6955
猎	6939
秀	6931
票	6921
固	6914
席	6891
耸	6879
卷	6878
挤	6873
②	6864
傲	6859
狠	6822
苍	6807
躲	6805
型	6792
雄	6792
寒	6786
盛	6782
忠	6773
羞	6771
抚	6758
偶	6756
尸	6748
哀	6735
滚	6726
缘	6721
项	6721
琴	6707
济	6699
穷	6682
疲	6660
ｈ	6647
奈	6637
逐	6635
毁	6630
牢	6629
限	6621
祷	6614
研	6609
扔	6608
朱	6601
略	6597
脏	6589
垂	6588
剩	6566
净	6562
攻	6546
舍	6546
卧	6544
誓	6530
聚	6525
辱	6518
欣	6508
育	6491
著	6489
描	6488
惑	6477
菜	6470
咖	6454
练	6453
侍	6431
纽	6431
皱	6425
甲	6400
仰	6392
啡	6390
赖	6382
侧	6369
廊	6365
胳	6339
慌	6316
升	6307
晃	6304
累	6304
伏	6286
黛	6273
聪	6270
途	6267
隆	6267
姓	6262
寂	6259
缩	6250
构	6244
珠	6241
奴	6224
绳	6211
腾	6207
偏	6189
翰	6180
凝	6179
降	6175
浮	6172
蠢	6168
批	6164
暖	6153
狄	6151
乘	6140
颗	6137
缝	6130
访	6129
泥	6129
驶	6120
撞	6115
壮	6107
绕	6102
典	6090
悔	6087
聊	6085
溜	6065
闷	6055
凭	6027
评	6009
湿	6005
噢	5997
吐	5988
旦	5976
裙	5964
恢	5957
掩	5955
嚷	5942
素	5935
喂	5927
测	5912
＊	5893
裤	5884
玻	5882
凶	5878
扮	5874
闲	5856
辛	5856
悉	5847
咬	5844
嗯	5843
率	5843
录	5829
益	5824
抵	5801
芒	5791
